,Date,Predicted_Mean,Lower Bound,Upper Bound
0,2022-09-01,234.5149645323656,153.510522379081,315.5194066856502
1,2022-09-02,229.89236297524235,145.17245555123782,314.6122703992469
2,2022-09-03,236.17332765157886,150.75211238520518,321.59454291795254
3,2022-09-04,237.69465756369803,151.9458809786264,323.44343414876965
4,2022-09-05,241.80807097860674,155.80272712340096,327.81341483381254
5,2022-09-06,225.70415715487013,139.458918650586,311.9493956591542
6,2022-09-07,229.43582000766483,142.9551954212974,315.91644459403227
7,2022-09-08,230.03543547259892,143.32100622368236,316.74986472151545
8,2022-09-09,223.5692467065109,136.62187350591026,310.5166199071116
9,2022-09-10,235.9351407857961,148.7555032032583,323.11477836833393
10,2022-09-11,235.6015789247268,148.19030809185966,323.0128497575939
11,2022-09-12,224.7999971649616,137.15771188867498,312.44228244124827
12,2022-09-13,230.7738569377577,142.9011717718182,318.6465421036972
13,2022-09-14,233.0664694237645,144.98677966481978,321.1461591827092
14,2022-09-15,221.35295730650734,133.04232929385245,309.6635853191622
15,2022-09-16,219.02045006691841,130.48046724862238,307.5604328852145
16,2022-09-17,245.20167597092,156.4335964058215,333.9697555360185
17,2022-09-18,234.59508885769128,145.5996868310958,323.59049088428674
18,2022-09-19,238.91855981765008,149.6964624270559,328.14065720824425
19,2022-09-20,234.59660147160673,145.14839196177783,324.0448109814356
20,2022-09-21,237.16144225070803,147.26390289724242,327.05898160417365
21,2022-09-22,233.78686042121257,143.6047344005198,323.9689864419054
22,2022-09-23,240.37625904017386,149.94492805474252,330.80759002560524
23,2022-09-24,241.97381490838742,151.30212474291633,332.64550507385854
24,2022-09-25,246.1060667051327,155.1966437818859,337.01548962837944
25,2022-09-26,230.00680857413386,138.86076246235012,321.1528546859176
26,2022-09-27,233.73962202866588,142.3576860216453,325.12155803568646
27,2022-09-28,234.33952185178947,142.72233302121145,325.9567106823675
28,2022-09-29,227.8734033616078,136.0215715618785,319.72523516133714
29,2022-09-30,240.2393148087874,148.15343970238743,332.32518991518737
