,precision,recall,f1-score,support,,
0,0.0,0.0,0.0,1.0,,
1,0.0,0.0,0.0,26.0,,
2,0.7768595041322310,0.9894736842105260,0.8703703703703700,95.0,,
accuracy,0.7704918032786890,0.7704918032786890,0.7704918032786890,0.7704918032786890,,
macro avg,0.25895316804407700,0.32982456140350900,0.29012345679012300,122.0,,
weighted avg,0.6049315810865740,0.7704918032786890,0.6777474195506980,122.0,,
