,precision,recall,f1-score,support,,
0,0.0,0.0,0.0,4.0,,
1,0.5157894736842110,0.7903225806451610,0.624203821656051,62.0,,
2,0.48148148148148100,0.23214285714285700,0.3132530120481930,56.0,,
accuracy,0.5081967213114750,0.5081967213114750,0.5081967213114750,0.5081967213114750,,
macro avg,0.3324236517218970,0.34082181259600600,0.31248561123474800,122.0,,
weighted avg,0.483130412552328,0.5081967213114750,0.46100660342109800,122.0,,
