,Date,Predicted_Mean,Lower Bound,Upper Bound
0,2022-09-01,107.18438431585274,-66.68143988357433,281.0502085152798
1,2022-09-02,98.6719530823671,-102.06371855206875,299.40762471680296
2,2022-09-03,113.2264899254791,-98.39026962839422,324.84324947935244
3,2022-09-04,119.78983531107713,-98.09011148015864,337.66978210231287
4,2022-09-05,125.68333598013339,-96.79721929786524,348.163891258132
5,2022-09-06,110.04152248073272,-116.35058621524574,336.4336311767112
6,2022-09-07,108.88045062941184,-121.10447286199816,338.86537412082185
7,2022-09-08,103.53238896088789,-129.88014192357497,336.94491984535074
8,2022-09-09,96.64254850865655,-140.09939965191217,333.38449666922526
9,2022-09-10,121.13898209420734,-118.86459448988819,361.14255867830286
10,2022-09-11,88.68012458425213,-154.5317025943476,331.8919517628518
11,2022-09-12,100.40137767334524,-145.97260670200302,346.7753620486935
12,2022-09-13,120.85372388306406,-128.64039321084357,370.3478409769717
13,2022-09-14,149.43030952572167,-103.12020988377293,401.98082893521627
14,2022-09-15,113.88074832232608,-141.71919054671298,369.4806871913651
15,2022-09-16,95.41816703978078,-163.19390166159673,354.03023574115826
16,2022-09-17,81.69928182824296,-179.88671036155588,343.28527401804183
17,2022-09-18,95.5820426244078,-168.94227143438536,360.10635668320094
18,2022-09-19,84.69302357736431,-182.7362469049292,352.12229405965786
19,2022-09-20,109.12963920928519,-161.17290301224682,379.4321814308172
20,2022-09-21,106.84211252952836,-167.16771977496194,380.8519448340187
21,2022-09-22,96.30227730189007,-180.9908034106569,373.595358014437
22,2022-09-23,109.93766191689608,-170.4388082206785,390.31413205447063
23,2022-09-24,116.0842966612658,-167.27092524690198,399.4395185694336
24,2022-09-25,121.78887567708216,-164.48247400036178,408.0602253545261
25,2022-09-26,106.06141187857301,-183.082513803681,395.20533756082705
26,2022-09-27,104.86150925475167,-187.1203943761523,396.84341288565565
27,2022-09-28,99.4958431072162,-195.29387423201604,394.28556044644847
28,2022-09-29,92.59802141584619,-204.97174023642265,390.167783068115
29,2022-09-30,117.09083659393673,-183.23266395054856,417.414337138422
