,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
465,2022-04-11,96,637702,498169115,2405,6193820
466,2022-04-12,93,756859,498925974,2361,6196181
467,2022-04-13,130,1040935,499966909,2499,6198680
468,2022-04-14,74,926103,500893012,2856,6201536
469,2022-04-15,27,1029017,501922029,6222,6207758
470,2022-04-16,100,800292,502722321,2134,6209892
471,2022-04-17,64,601050,503323371,2149,6212041
472,2022-04-18,45,470002,503793373,1967,6214008
473,2022-04-19,81,455740,504249113,1736,6215744
474,2022-04-20,197,642464,504891577,2280,6218024
475,2022-04-21,199,878928,505770505,2331,6220355
476,2022-04-22,116,1076995,506847500,5610,6225965
477,2022-04-23,106,665254,507512754,1968,6227933
478,2022-04-24,119,538625,508051379,1973,6229906
479,2022-04-25,151,393102,508444481,1645,6231551
480,2022-04-26,117,464229,508908710,3213,6234764
481,2022-04-27,126,647994,509556704,1983,6236747
482,2022-04-28,151,649561,510206265,2158,6238905
483,2022-04-29,292,923225,511129490,4971,6243876
484,2022-04-30,226,507318,511636808,1679,6245555
485,2022-05-01,100,412460,512049268,1767,6247322
486,2022-05-02,172,331382,512380650,1626,6248948
487,2022-05-03,320,356419,512737069,1445,6250393
488,2022-05-04,184,687737,513424806,1526,6251919
489,2022-05-05,327,524853,513949659,1750,6253669
490,2022-05-06,437,896428,514846087,4152,6257821
491,2022-05-07,302,470970,515317057,1551,6259372
492,2022-05-08,309,395176,515712233,1267,6260639
493,2022-05-09,213,385846,516098079,1290,6261929
494,2022-05-10,225,390796,516488875,1105,6263034
495,2022-05-11,195,561176,517050051,1453,6264487
496,2022-05-12,162,552144,517602195,1569,6266056
497,2022-05-13,190,1081308,518683503,3682,6269738
498,2022-05-14,121,438460,519121963,1403,6271141
499,2022-05-15,208,467001,519588964,1162,6272303
500,2022-05-16,207,399119,519988083,1129,6273432
501,2022-05-17,246,346784,520334867,1119,6274551
502,2022-05-18,195,531104,520865971,1433,6275984
503,2022-05-19,171,525872,521391843,1440,6277424
504,2022-05-20,109,1140338,522532181,5224,6282648
505,2022-05-21,95,440350,522972531,1111,6283759
506,2022-05-22,103,382817,523355348,1048,6284807
507,2022-05-23,99,359922,523715270,908,6285715
508,2022-05-24,246,305102,524020372,1078,6286793
509,2022-05-25,228,451590,524471962,1122,6287915
510,2022-05-26,344,454386,524926348,1324,6289239
511,2022-05-27,374,1113751,526040099,3709,6292948
512,2022-05-28,315,363671,526403770,1167,6294115
513,2022-05-29,307,418394,526822164,974,6295089
514,2022-05-30,339,320237,527142401,957,6296046
515,2022-05-31,318,274430,527416831,935,6296981
516,2022-06-01,305,425778,527842609,1000,6297981
517,2022-06-02,178,444665,528287274,1114,6299095
518,2022-06-03,119,1095414,529382688,3101,6302196
519,2022-06-04,101,390819,529773507,983,6303179
520,2022-06-05,87,344531,530118038,872,6304051
521,2022-06-06,162,290372,530408410,800,6304851
522,2022-06-07,175,217751,530626161,762,6305613
523,2022-06-08,276,451713,531077874,999,6306612
524,2022-06-09,162,521384,531599258,1230,6307842
525,2022-06-10,111,1219434,532818692,3536,6311378
526,2022-06-11,102,421552,533240244,1026,6312404
527,2022-06-12,110,381323,533621567,955,6313359
528,2022-06-13,155,318282,533939849,785,6314144
529,2022-06-14,159,281711,534221560,782,6314926
530,2022-06-15,75,583722,534805282,874,6315800
531,2022-06-16,85,493855,535299137,1086,6316886
532,2022-06-17,97,1176491,536475628,3265,6320151
533,2022-06-18,53,492364,536967992,1683,6321834
534,2022-06-19,44,402355,537370347,846,6322680
535,2022-06-20,84,367361,537737708,803,6323483
536,2022-06-21,180,348631,538086339,970,6324453
537,2022-06-22,256,702087,538788426,1105,6325558
538,2022-06-23,275,609219,539397645,1141,6326699
539,2022-06-24,106,1288258,540685903,3052,6329751
540,2022-06-25,44,702156,541388059,1635,6331386
541,2022-06-26,81,522757,541910816,1086,6332472
