,sentiment,variable,value,total_count,ratio,brand
59,neutral,oil,32.0,8030,0.00398505603985056,fenty
60,positive,serum,161.0,3024,0.05324074074074074,fenty
61,negative,serum,18.0,3024,0.005952380952380952,fenty
62,neutral,serum,12.0,3024,0.003968253968253968,fenty
63,positive,soap,47.0,652,0.07208588957055215,fenty
64,negative,soap,1.0,652,0.0015337423312883436,fenty
65,neutral,soap,1.0,652,0.0015337423312883436,fenty
66,positive,cleanser,45.0,1720,0.02616279069767442,fenty
67,negative,cleanser,10.0,1720,0.005813953488372093,fenty
68,neutral,cleanser,4.0,1720,0.002325581395348837,fenty
69,positive,skincare,101.0,3229,0.03127903375658098,fenty
70,negative,skincare,45.0,3229,0.013936203158872717,fenty
71,neutral,skincare,10.0,3229,0.003096934035305048,fenty
72,positive,sponge,101.0,1224,0.08251633986928104,fenty
73,negative,sponge,20.0,1224,0.016339869281045753,fenty
74,neutral,sponge,3.0,1224,0.0024509803921568627,fenty
