,Sephora,Ulta,Fenty,Glossier,count
0,False,False,False,True,180
1,False,False,False,False,84351
2,True,False,False,False,394
3,False,False,True,False,345
4,False,True,False,False,234
5,True,True,False,False,41
6,False,True,True,False,3
7,True,False,True,False,4
8,False,False,True,True,4
9,True,True,True,False,1
